# v_dc=-6.829852e-1  i_dc=2.119449e-8  freq=1.077e-4
t_rel_fs,v,i,v_ac,i_ac,actual_i,actual_i_ac,v_cap,is_recording
5.2000e3,-1.466719e0,3.690182e-2,-7.837337e-1,3.690180e-2,2.000000e-1,1.976293e-1,-6.110876e0,0
5.2400e3,-1.442869e0,3.940425e-2,-7.598837e-1,3.940423e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
5.2800e3,-1.412746e0,4.187780e-2,-7.297613e-1,4.187778e-2,2.000000e-1,1.976293e-1,-6.110876e0,0
5.3200e3,-1.377590e0,4.432068e-2,-6.946052e-1,4.432066e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
5.3600e3,-1.397212e0,4.673105e-2,-7.142264e-1,4.673103e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
5.4000e3,-1.393516e0,4.910717e-2,-7.105304e-1,4.910715e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
5.4400e3,-1.361542e0,5.144730e-2,-6.785568e-1,5.144728e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
5.4800e3,-1.303610e0,5.374972e-2,-6.206249e-1,5.374970e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
5.5200e3,-1.335151e0,5.601275e-2,-6.521663e-1,5.601273e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
5.5600e3,-1.360791e0,5.823475e-2,-6.778059e-1,5.823473e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
5.6000e3,-1.311488e0,6.041404e-2,-6.285030e-1,6.041402e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
5.6400e3,-1.291845e0,6.254905e-2,-6.088597e-1,6.254903e-2,2.000000e-1,1.976293e-1,-6.110876e0,0
5.6800e3,-1.297539e0,6.463823e-2,-6.145536e-1,6.463821e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
5.7200e3,-1.297379e0,6.668003e-2,-6.143934e-1,6.668001e-2,2.000000e-1,1.976293e-1,-6.110876e0,0
5.7600e3,-1.264075e0,6.867295e-2,-5.810899e-1,6.867293e-2,2.000000e-1,1.976293e-1,-6.110876e0,0
5.8000e3,-1.221006e0,7.061556e-2,-5.380206e-1,7.061554e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
5.8400e3,-1.254418e0,7.250640e-2,-5.714332e-1,7.250638e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
5.8800e3,-1.197790e0,7.434409e-2,-5.148045e-1,7.434407e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
5.9200e3,-1.184003e0,7.612731e-2,-5.010175e-1,7.612729e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
5.9600e3,-1.191822e0,7.785472e-2,-5.088371e-1,7.785470e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
6.0000e3,-1.176311e0,7.952508e-2,-4.933263e-1,7.952505e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
6.0400e3,-1.192458e0,8.113714e-2,-5.094725e-1,8.113712e-2,2.000000e-1,1.976293e-1,-6.110876e0,0
6.0800e3,-1.150165e0,8.268973e-2,-4.671795e-1,8.268971e-2,2.000000e-1,1.976293e-1,-6.110876e0,0
6.1200e3,-1.117762e0,8.418173e-2,-4.347769e-1,8.418170e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
6.1600e3,-1.105721e0,8.561202e-2,-4.227356e-1,8.561200e-2,2.000000e-1,1.976293e-1,-6.110876e0,0
6.2000e3,-1.112111e0,8.697956e-2,-4.291263e-1,8.697954e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
6.2400e3,-1.043702e0,8.828336e-2,-3.607168e-1,8.828334e-2,2.000000e-1,1.976293e-1,-6.110876e0,0
6.2800e3,-1.026835e0,8.952245e-2,-3.438500e-1,8.952243e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
6.3200e3,-1.012771e0,9.069593e-2,-3.297858e-1,9.069591e-2,2.000000e-1,1.976293e-1,-6.110876e0,0
6.3600e3,-1.031689e0,9.180295e-2,-3.487042e-1,9.180293e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
6.4000e3,-9.954556e-1,9.284267e-2,-3.124704e-1,9.284265e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
6.4400e3,-9.711268e-1,9.381434e-2,-2.881416e-1,9.381432e-2,2.000000e-1,1.976293e-1,-6.110876e0,0
6.4800e3,-9.649533e-1,9.471726e-2,-2.819681e-1,9.471724e-2,2.000000e-1,1.976293e-1,-6.110876e0,0
6.5200e3,-9.356327e-1,9.555075e-2,-2.526475e-1,9.555073e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
6.5600e3,-9.027005e-1,9.631421e-2,-2.197154e-1,9.631419e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
6.6000e3,-8.668802e-1,9.700709e-2,-1.838951e-1,9.700707e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
6.6400e3,-8.840098e-1,9.762885e-2,-2.010247e-1,9.762883e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
6.6800e3,-8.864434e-1,9.817907e-2,-2.034582e-1,9.817905e-2,2.000000e-1,1.976293e-1,-6.110876e0,0
6.7200e3,-8.454533e-1,9.865733e-2,-1.624681e-1,9.865731e-2,2.000000e-1,1.976293e-1,-6.110876e0,0
6.7600e3,-8.293827e-1,9.906328e-2,-1.463975e-1,9.906326e-2,2.000000e-1,1.976293e-1,-6.110876e0,0
6.8000e3,-7.926941e-1,9.939663e-2,-1.097089e-1,9.939661e-2,2.000000e-1,1.976293e-1,-6.110876e0,0
6.8400e3,-7.889657e-1,9.965713e-2,-1.059805e-1,9.965711e-2,2.000000e-1,1.976293e-1,-6.110876e0,0
6.8800e3,-7.365618e-1,9.984458e-2,-5.357660e-2,9.984456e-2,2.000000e-1,1.976293e-1,-6.110876e0,0
6.9200e3,-7.457414e-1,9.995886e-2,-6.275619e-2,9.995884e-2,2.000000e-1,1.976293e-1,-6.110876e0,0
6.9600e3,-7.111969e-1,9.999987e-2,-2.821172e-2,9.999985e-2,2.000000e-1,1.976293e-1,-6.110876e0,0
7.0000e3,-6.917140e-1,9.996759e-2,-8.728871e-3,9.996757e-2,2.000000e-1,1.976293e-1,-6.110876e0,0
7.0400e3,-6.994150e-1,9.986205e-2,-1.642979e-2,9.986203e-2,2.000000e-1,1.976293e-1,-6.110876e0,0
7.0800e3,-6.819181e-1,9.968331e-2,1.067034e-3,9.968329e-2,2.000000e-1,1.976293e-1,-6.110876e0,0
7.1200e3,-6.126397e-1,9.943151e-2,7.034551e-2,9.943149e-2,2.000000e-1,1.976293e-1,-6.110876e0,0
7.1600e3,-6.141445e-1,9.910683e-2,6.884067e-2,9.910681e-2,2.000000e-1,1.976293e-1,-6.110876e0,0
7.2000e3,-6.012856e-1,9.870952e-2,8.169954e-2,9.870950e-2,2.000000e-1,1.976293e-1,-6.110876e0,0
7.2400e3,-5.673031e-1,9.823986e-2,1.156821e-1,9.823984e-2,2.000000e-1,1.976293e-1,-6.110876e0,0
7.2800e3,-5.737635e-1,9.769820e-2,1.092216e-1,9.769818e-2,2.000000e-1,1.976293e-1,-6.110876e0,0
7.3200e3,-5.268825e-1,9.708492e-2,1.561027e-1,9.708490e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
7.3600e3,-5.176732e-1,9.640049e-2,1.653120e-1,9.640047e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
7.4000e3,-4.929326e-1,9.564542e-2,1.900525e-1,9.564540e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
7.4400e3,-4.741554e-1,9.482024e-2,2.088298e-1,9.482022e-2,2.000000e-1,1.976293e-1,-6.110876e0,0
7.4800e3,-4.488286e-1,9.392556e-2,2.341566e-1,9.392554e-2,2.000000e-1,1.976293e-1,-6.110876e0,0
7.5200e3,-4.579587e-1,9.296205e-2,2.250265e-1,9.296203e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
7.5600e3,-4.235187e-1,9.193040e-2,2.594665e-1,9.193038e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
7.6000e3,-3.871440e-1,9.083137e-2,2.958411e-1,9.083135e-2,2.000000e-1,1.976293e-1,-6.110876e0,0
7.6400e3,-3.828808e-1,8.966577e-2,3.001044e-1,8.966575e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
7.6800e3,-3.898666e-1,8.843445e-2,2.931186e-1,8.843443e-2,2.000000e-1,1.976293e-1,-6.110876e0,0
7.7200e3,-3.647670e-1,8.713832e-2,3.182181e-1,8.713830e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
7.7600e3,-3.427687e-1,8.577832e-2,3.402165e-1,8.577830e-2,2.000000e-1,1.976293e-1,-6.110876e0,0
7.8000e3,-3.148838e-1,8.435543e-2,3.681014e-1,8.435541e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
7.8400e3,-3.193203e-1,8.287074e-2,3.636649e-1,8.287072e-2,2.000000e-1,1.976293e-1,-6.110876e0,0
7.8800e3,-3.027504e-1,8.132530e-2,3.802347e-1,8.132528e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
7.9200e3,-2.669024e-1,7.972027e-2,4.160827e-1,7.972024e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
7.9600e3,-2.484888e-1,7.805680e-2,4.344964e-1,7.805678e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
8.0000e3,-2.278782e-1,7.633612e-2,4.551070e-1,7.633609e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
8.0400e3,-2.045282e-1,7.455949e-2,4.784570e-1,7.455947e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
8.0800e3,-2.044076e-1,7.272822e-2,4.785775e-1,7.272820e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
