# v_dc=-4.494976e-2  i_dc=-1.845323e-5  freq=2.154e-3
t_rel_fs,v,i,v_ac,i_ac,actual_i,actual_i_ac,v_cap,is_recording
7.9000e2,-7.706602e-2,9.548721e-2,-3.211626e-2,9.550567e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
7.9500e2,-6.077372e-2,9.727736e-2,-1.582396e-2,9.729581e-2,2.000000e-1,2.005376e-1,-3.611102e-4,0
8.0000e2,-6.248076e-2,9.862205e-2,-1.753100e-2,9.864051e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
8.0500e2,-6.070080e-2,9.951512e-2,-1.575104e-2,9.953357e-2,2.000000e-1,2.005376e-1,-3.611102e-4,0
8.1000e2,-4.821419e-2,9.995247e-2,-3.264434e-3,9.997093e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
8.1500e2,-3.874086e-2,9.993211e-2,6.208901e-3,9.995057e-2,2.000000e-1,2.005376e-1,-3.611102e-4,0
8.2000e2,-5.932295e-2,9.945413e-2,-1.437319e-2,9.947258e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
8.2500e2,-5.686006e-2,9.852071e-2,-1.191030e-2,9.853916e-2,2.000000e-1,2.005376e-1,-3.611102e-4,0
8.3000e2,-5.133880e-2,9.713615e-2,-6.389040e-3,9.715460e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
8.3500e2,-4.106341e-2,9.530674e-2,3.886347e-3,9.532519e-2,2.000000e-1,2.005376e-1,-3.611102e-4,0
8.4000e2,-3.820024e-2,9.304092e-2,6.749523e-3,9.305937e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
8.4500e2,-3.893670e-2,9.034904e-2,6.013063e-3,9.036749e-2,2.000000e-1,2.005376e-1,-3.611102e-4,0
8.5000e2,-3.868596e-2,8.724339e-2,6.263797e-3,8.726184e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
8.5500e2,-3.413442e-2,8.373826e-2,1.081534e-2,8.375671e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
8.6000e2,-1.972313e-2,7.984962e-2,2.522663e-2,7.986807e-2,2.000000e-1,2.005376e-1,-3.611102e-4,0
8.6500e2,-1.628330e-2,7.559537e-2,2.866646e-2,7.561382e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
8.7000e2,-3.388590e-2,7.099495e-2,1.106386e-2,7.101340e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
8.7500e2,-3.435180e-2,6.606936e-2,1.059796e-2,6.608781e-2,2.000000e-1,2.005376e-1,-3.611102e-4,0
