target_ratio,sim_time,eta_a,eta_b,eta_avg,i_controller_a,i_controller_b,e_delta_a,e_delta_b
1.005,14400.0,0.009202,-0.005935,0.001634,0.009357,-0.022532,0,2
1.005,14500.0,0.009202,-0.008902,0.000150,0.032102,-0.038829,0,-1
1.005,14600.0,0.009091,-0.011887,-0.001398,0.054847,0.001172,0,-1
1.005,14700.0,0.012308,-0.012346,-0.000019,0.015558,0.038211,2,0
1.005,14800.0,0.012327,-0.008902,0.001712,-0.020777,-0.004754,0,1
1.005,14900.0,0.009231,-0.011869,-0.001319,-0.018710,0.038211,-1,-1
1.005,15000.0,0.009231,-0.008902,0.000164,0.004035,0.007098,0,1
1.005,15100.0,0.012539,-0.008889,0.001825,-0.023438,-0.015125,1,0
1.005,15200.0,0.012403,-0.011852,0.000276,-0.059773,0.015988,0,-1
1.005,15300.0,0.012308,-0.009050,0.001629,-0.096108,-0.000309,0,1
1.005,15400.0,0.006144,-0.009217,-0.001536,-0.014221,-0.022532,-2,0
1.005,15500.0,0.009274,-0.014815,-0.002771,0.014374,-0.017727,1,-2
1.005,15600.0,0.009479,-0.012520,-0.001521,0.057799,0.045803,1,1
1.005,15700.0,0.012520,-0.009449,0.001535,0.036234,0.005801,1,1
1.005,15800.0,0.012500,-0.009091,0.001705,-0.000101,-0.016422,0,0
1.005,15900.0,0.012403,-0.008889,0.001757,-0.036436,-0.038645,0,0
1.005,16000.0,0.015717,-0.009063,0.003327,-0.072771,-0.060868,0,0
1.005,16100.0,0.012214,-0.011852,0.000181,-0.109106,-0.023829,0,-1
1.005,16200.0,0.009188,-0.011922,-0.001367,-0.098177,0.013209,-1,0
1.005,16300.0,0.006116,-0.008969,-0.001426,0.010241,0.044483,-1,1
1.005,16400.0,0.009050,-0.008955,0.000047,0.027078,-0.007370,1,0
1.005,16500.0,0.011869,-0.008889,0.001490,-0.003349,-0.017800,1,0
1.005,16600.0,0.012327,-0.009174,0.001576,-0.039684,-0.039964,0,0
1.005,16700.0,0.006163,-0.009119,-0.001478,0.006696,-0.062187,-2,0
1.005,16800.0,0.006126,-0.009023,-0.001448,0.088526,-0.084410,0,0
1.005,16900.0,0.012384,-0.011887,0.000248,0.093545,-0.023667,2,-1
1.005,17000.0,0.015244,-0.012085,0.001580,-0.034369,0.013371,1,0
1.005,17100.0,0.012251,-0.012365,-0.000057,-0.044116,0.003000,-1,0
1.005,17200.0,0.009160,-0.009709,-0.000274,-0.027278,-0.007159,-1,0
1.005,17300.0,0.009217,-0.012480,-0.001632,-0.004533,0.032830,0,0
1.005,17400.0,0.009160,-0.006202,0.001479,0.018212,-0.004033,0,0
1.005,17500.0,0.009217,-0.009023,0.000097,0.040957,0.030176,0,0
1.005,17600.0,0.012308,-0.011940,0.000184,-0.004240,0.023265,1,-1
1.005,17700.0,0.009346,-0.012346,-0.001500,0.021459,0.036547,-1,1
1.005,17800.0,0.009346,-0.008955,0.000195,0.044204,0.055887,0,0
1.005,17900.0,0.015576,-0.005961,0.004808,0.022639,-0.004731,2,1
1.005,18000.0,0.012384,-0.008915,0.001734,-0.069767,0.011486,-1,-1
1.005,18100.0,0.003180,-0.006182,-0.001501,0.012002,0.016017,-2,0
1.005,18200.0,0.009146,-0.008915,0.000116,0.014068,0.002650,1,1
1.005,18300.0,0.009231,-0.008915,0.000158,0.036813,-0.019573,0,0
1.005,18400.0,0.012270,-0.008915,0.001677,-0.017246,-0.041796,1,0
1.005,18500.0,0.012177,-0.008915,0.001631,-0.053581,-0.064019,0,0
1.005,18600.0,0.012403,-0.015361,-0.001479,-0.089916,-0.003276,0,-1
1.005,18700.0,0.006163,-0.009288,-0.001562,-0.073079,-0.025234,-2,0
1.005,18800.0,0.012384,-0.012346,0.000019,0.050051,0.014754,2,0
1.005,18900.0,0.012422,-0.009231,0.001596,-0.015765,0.051792,0,0
1.005,19000.0,0.009288,-0.009331,-0.000022,0.024704,0.023643,-1,1
1.005,19100.0,0.009464,-0.006472,0.001496,0.047450,0.001420,0,0
1.005,19200.0,0.012480,-0.008996,0.001742,0.014069,-0.020803,1,0
1.005,19300.0,0.012480,-0.009050,0.001715,-0.022266,-0.078476,0,0
1.005,19400.0,0.009346,-0.012066,-0.001360,0.012295,0.017735,-1,-1
1.005,19500.0,0.009245,-0.012066,-0.001411,-0.018132,0.016253,1,0
1.005,19600.0,0.009091,-0.011887,-0.001398,-0.054467,0.008905,0,0
1.005,19700.0,0.009569,-0.011976,-0.001203,-0.090802,0.039984,0,0
1.005,19800.0,0.006154,-0.006033,0.000060,-0.062149,0.038502,-1,1
1.005,19900.0,0.006135,-0.005952,0.000091,0.049223,-0.025078,0,0
1.005,20000.0,0.009217,-0.011887,-0.001335,0.057197,-0.050004,1,-1
1.005,20100.0,0.012422,-0.011940,0.000241,0.047389,0.010633,1,0
1.005,20200.0,0.012270,-0.008982,0.001644,0.011113,0.003424,0,0
1.005,20300.0,0.012422,-0.008955,0.001734,-0.025222,-0.068651,0,-1
1.005,20400.0,0.012232,-0.015015,-0.001391,-0.061557,0.057620,0,-1
1.005,20500.0,0.012251,-0.012085,0.000083,-0.097892,0.174949,0,0
1.005,20600.0,0.012251,-0.015038,-0.001393,-0.134227,0.162208,0,1
1.005,20700.0,0.006098,-0.002998,0.001550,-0.061259,0.063055,-2,3
1.005,20800.0,0.006126,-0.006319,-0.000097,0.005734,-0.083577,0,0
1.005,20900.0,0.009231,-0.012251,-0.001510,0.037342,-0.052123,1,-2
1.005,21000.0,0.006154,-0.012539,-0.003193,0.060087,0.003070,0,0
1.005,21100.0,0.014815,-0.008915,0.002950,-0.038286,0.040459,2,1
1.005,21200.0,0.015432,-0.009202,0.003115,-0.133706,0.018536,0,-1
1.005,21300.0,0.006192,-0.009245,-0.001527,-0.043014,0.032292,-3,1
1.005,21400.0,0.009274,-0.009245,0.000014,0.006260,-0.019340,1,0
1.005,21500.0,0.009160,-0.008915,0.000122,0.029065,-0.041298,0,0
1.005,21600.0,0.009317,-0.011905,-0.001294,0.051810,0.007960,0,-1
1.005,21700.0,0.009274,-0.011958,-0.001342,0.074555,0.045349,0,0
1.005,21800.0,0.012289,-0.006015,0.003137,0.017542,-0.062663,1,2
1.005,21900.0,0.012214,-0.009346,0.001434,-0.018793,-0.019340,0,-2
1.005,22000.0,0.009302,-0.012327,-0.001512,0.018722,0.018049,-1,0
1.005,22100.0,0.011817,-0.008902,0.001457,0.006019,0.004993,1,1
1.005,22200.0,0.006182,-0.009119,-0.001468,-0.009667,-0.028800,-1,0
1.005,22300.0,0.009217,-0.011922,-0.001353,-0.034613,-0.015066,-1,-1
1.005,22400.0,0.009302,-0.009317,-0.000007,-0.003287,0.016415,0,0
1.005,22500.0,0.008915,-0.008969,-0.000027,-0.001269,-0.002576,1,1
1.005,22600.0,0.009174,-0.009245,-0.000035,0.009589,0.002370,0,-1
1.005,22700.0,0.011817,-0.009202,0.001307,-0.003114,-0.025133,1,0
