[run_job] id=doe-cos-027
[run_job] workdir=/c/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/runs/doe-cos-027
[run_job] exe=/c/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/target/release/eis_quick_sweep.exe
[run_job] log=/c/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/doe_results/eis_doe_lf/doe-cos-027_amp1e-4_freq3e-7to1e-6_cos.log
[run_job] args: --amplitude 1e-4 --f-min 3e-7 --f-max 1e-6 --points-per-decade 4 --scenario /c/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/measurement_configs/eis_validation_flat_symmetric.toml
[run_job] start=2026-05-04T23:29:32Z
Successfully placed 86 random bodies
Successfully placed 86 random bodies
Successfully placed 598 random bodies
Successfully placed 599 random bodies
scenario=C:/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/measurement_configs/eis_validation_flat_symmetric.toml seed=0xC0FFEE
bodies=3449 foils=2
dt=5 fs  group_a=[1]  group_b=[2]
equilibrating 50000 fs (10000 steps)
zero-current pre-hold 10000 fs (2000 steps)
[EIS] Started sweep (Galvanostatic): 4 frequencies from 1.00e-6 to 3.00e-7 (1/fs)
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=2750005fs/8000000fs cycles=2.75 samples=0 V=6.5764e-2 I=-3.1833e-9
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=2800005fs/8000000fs cycles=2.80 samples=0 V=5.7573e-2 I=-3.0905e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=2850005fs/8000000fs cycles=2.85 samples=0 V=3.8303e-2 I=-5.8781e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=2900005fs/8000000fs cycles=2.90 samples=0 V=3.1073e-2 I=-8.0904e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=2950005fs/8000000fs cycles=2.95 samples=0 V=9.0185e-3 I=-9.5107e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=3000005fs/8000000fs cycles=3.00 samples=0 V=1.0309e-2 I=-1.0000e-4
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=3050005fs/8000000fs cycles=3.05 samples=0 V=-2.1360e-2 I=-9.5105e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=3100005fs/8000000fs cycles=3.10 samples=0 V=-3.5616e-2 I=-8.0900e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=3150005fs/8000000fs cycles=3.15 samples=0 V=-5.4722e-2 I=-5.8776e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=3200005fs/8000000fs cycles=3.20 samples=0 V=-6.4837e-2 I=-3.0899e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=3250005fs/8000000fs cycles=3.25 samples=0 V=-7.0933e-2 I=3.1205e-9
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=3300005fs/8000000fs cycles=3.30 samples=0 V=-5.7125e-2 I=3.0905e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=3350005fs/8000000fs cycles=3.35 samples=0 V=-5.2476e-2 I=5.8781e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=3400005fs/8000000fs cycles=3.40 samples=0 V=-2.9845e-2 I=8.0904e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=3450005fs/8000000fs cycles=3.45 samples=0 V=-2.0309e-2 I=9.5107e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=3500005fs/8000000fs cycles=3.50 samples=0 V=5.3196e-3 I=1.0000e-4
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=3550005fs/8000000fs cycles=3.55 samples=0 V=2.2786e-2 I=9.5105e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=3600005fs/8000000fs cycles=3.60 samples=0 V=4.2635e-2 I=8.0900e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=3650005fs/8000000fs cycles=3.65 samples=0 V=4.7410e-2 I=5.8776e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=3700005fs/8000000fs cycles=3.70 samples=0 V=7.1027e-2 I=3.0899e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=3750005fs/8000000fs cycles=3.75 samples=0 V=5.5320e-2 I=-3.2485e-9
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=3800005fs/8000000fs cycles=3.80 samples=0 V=4.4482e-2 I=-3.0905e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=3850005fs/8000000fs cycles=3.85 samples=0 V=5.2742e-2 I=-5.8781e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=3900005fs/8000000fs cycles=3.90 samples=0 V=3.1068e-2 I=-8.0904e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=3950005fs/8000000fs cycles=3.95 samples=0 V=5.5389e-3 I=-9.5107e-5
[EIS] Freq 1/4 (1.00e-6): settling complete, now recording
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=4000005fs/8000000fs cycles=4.00 samples=0 V=1.8461e-3 I=-1.0000e-4
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=4050005fs/8000000fs cycles=4.05 samples=10000 V=-2.4223e-2 I=-9.5105e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=4100005fs/8000000fs cycles=4.10 samples=20000 V=-4.1151e-2 I=-8.0900e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=4150005fs/8000000fs cycles=4.15 samples=30000 V=-5.8331e-2 I=-5.8776e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=4200005fs/8000000fs cycles=4.20 samples=40000 V=-6.1941e-2 I=-3.0899e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=4250005fs/8000000fs cycles=4.25 samples=50000 V=-5.0382e-2 I=3.1857e-9
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=4300005fs/8000000fs cycles=4.30 samples=60000 V=-5.5993e-2 I=3.0905e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=4350005fs/8000000fs cycles=4.35 samples=70000 V=-3.3445e-2 I=5.8781e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=4400005fs/8000000fs cycles=4.40 samples=80000 V=-1.6490e-2 I=8.0904e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=4450005fs/8000000fs cycles=4.45 samples=90000 V=6.5911e-3 I=9.5107e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=4500005fs/8000000fs cycles=4.50 samples=100000 V=1.5252e-2 I=1.0000e-4
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=4550005fs/8000000fs cycles=4.55 samples=110000 V=3.3822e-2 I=9.5105e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=4600005fs/8000000fs cycles=4.60 samples=120000 V=4.7822e-2 I=8.0900e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=4650005fs/8000000fs cycles=4.65 samples=130000 V=5.4009e-2 I=5.8776e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=4700005fs/8000000fs cycles=4.70 samples=140000 V=6.6214e-2 I=3.0899e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=4750005fs/8000000fs cycles=4.75 samples=150000 V=6.1919e-2 I=-3.3136e-9
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=4800005fs/8000000fs cycles=4.80 samples=160000 V=7.3941e-2 I=-3.0905e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=4850005fs/8000000fs cycles=4.85 samples=170000 V=4.5832e-2 I=-5.8781e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=4900005fs/8000000fs cycles=4.90 samples=180000 V=3.8205e-2 I=-8.0904e-5
