[run_job] id=doe-cos-024
[run_job] workdir=/c/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/runs/doe-cos-024
[run_job] exe=/c/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/target/release/eis_quick_sweep.exe
[run_job] log=/c/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/doe_results/eis_doe_lf/doe-cos-024_amp3e-4_freq1e-6to3e-6_cos.log
[run_job] args: --amplitude 0.0003 --f-min 1e-6 --f-max 3e-6 --points-per-decade 4 --scenario /c/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/measurement_configs/eis_validation_flat_symmetric.toml
[run_job] start=2026-05-03T18:19:16Z
Successfully placed 86 random bodies
Successfully placed 86 random bodies
Successfully placed 598 random bodies
Successfully placed 599 random bodies
scenario=C:/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/measurement_configs/eis_validation_flat_symmetric.toml seed=0xC0FFEE
bodies=3449 foils=2
dt=5 fs  group_a=[1]  group_b=[2]
equilibrating 50000 fs (10000 steps)
zero-current pre-hold 10000 fs (2000 steps)
[EIS] Started sweep (Galvanostatic): 3 frequencies from 3.00e-6 to 1.00e-6 (1/fs)
[EIS] Estimated total time: 15285468 fs (15285.5 ps), amplitude=3.0000e-4
[EIS] Group A (+ perturbation): [1], Group B (- perturbation): [2]
[EIS] Voltage probes: 0 per group (A=130, B=130)
EIS sweep started (Galvanostatic)
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Settling elapsed=1733335fs/4618802fs cycles=3.00 samples=0 V=-2.4756e-2 I=-2.9997e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Settling elapsed=1783335fs/4618802fs cycles=3.09 samples=0 V=-5.9437e-2 I=-2.5448e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Settling elapsed=1833335fs/4618802fs cycles=3.18 samples=0 V=-8.4619e-2 I=-1.3547e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Settling elapsed=1883335fs/4618802fs cycles=3.26 samples=0 V=-8.1828e-2 I=2.2659e-5
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Settling elapsed=1933335fs/4618802fs cycles=3.35 samples=0 V=-6.5047e-2 I=1.7425e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Settling elapsed=1983335fs/4618802fs cycles=3.44 samples=0 V=-2.9402e-2 I=2.7550e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Settling elapsed=2033335fs/4618802fs cycles=3.52 samples=0 V=3.5585e-2 I=2.9718e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Settling elapsed=2083335fs/4618802fs cycles=3.61 samples=0 V=5.4887e-2 I=2.3301e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Settling elapsed=2133335fs/4618802fs cycles=3.70 samples=0 V=1.0751e-1 I=1.0154e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Settling elapsed=2183335fs/4618802fs cycles=3.78 samples=0 V=1.0024e-1 I=-5.9262e-5
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Settling elapsed=2233335fs/4618802fs cycles=3.87 samples=0 V=7.3649e-2 I=-2.0295e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Settling elapsed=2283335fs/4618802fs cycles=3.95 samples=0 V=1.4680e-2 I=-2.8801e-4
[EIS] Freq 2/3 (1.73e-6): settling complete, now recording
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Recording elapsed=2333335fs/4618802fs cycles=4.04 samples=4785 V=-3.7625e-2 I=-2.8988e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Recording elapsed=2383335fs/4618802fs cycles=4.13 samples=14785 V=-6.6225e-2 I=-2.0802e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Recording elapsed=2433335fs/4618802fs cycles=4.21 samples=24785 V=-6.4119e-2 I=-6.6067e-5
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Recording elapsed=2483335fs/4618802fs cycles=4.30 samples=34785 V=-6.8242e-2 I=9.4966e-5
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Recording elapsed=2533335fs/4618802fs cycles=4.39 samples=44785 V=-3.9681e-2 I=2.2857e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Recording elapsed=2583335fs/4618802fs cycles=4.47 samples=54785 V=4.1148e-3 I=2.9615e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Recording elapsed=2633335fs/4618802fs cycles=4.56 samples=64785 V=5.6945e-2 I=2.7818e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Recording elapsed=2683335fs/4618802fs cycles=4.65 samples=74785 V=9.6605e-2 I=1.7986e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Recording elapsed=2733335fs/4618802fs cycles=4.73 samples=84785 V=9.0821e-2 I=2.9591e-5
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Recording elapsed=2783335fs/4618802fs cycles=4.82 samples=94785 V=8.2081e-2 I=-1.2923e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Recording elapsed=2833335fs/4618802fs cycles=4.91 samples=104785 V=4.3214e-2 I=-2.5072e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Recording elapsed=2883335fs/4618802fs cycles=4.99 samples=114785 V=-7.1127e-3 I=-2.9979e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Recording elapsed=2933335fs/4618802fs cycles=5.08 samples=124785 V=-5.2219e-2 I=-2.6227e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Recording elapsed=2983335fs/4618802fs cycles=5.17 samples=134785 V=-7.3317e-2 I=-1.4898e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Recording elapsed=3033335fs/4618802fs cycles=5.25 samples=144785 V=-6.6975e-2 I=7.3344e-6
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Recording elapsed=3083335fs/4618802fs cycles=5.34 samples=154785 V=-5.8843e-2 I=1.6153e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Recording elapsed=3133335fs/4618802fs cycles=5.43 samples=164785 V=-1.9579e-2 I=2.6907e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Recording elapsed=3183335fs/4618802fs cycles=5.51 samples=174785 V=2.9722e-2 I=2.9889e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Recording elapsed=3233335fs/4618802fs cycles=5.60 samples=184785 V=7.0029e-2 I=2.4237e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Recording elapsed=3283335fs/4618802fs cycles=5.69 samples=194785 V=1.0147e-1 I=1.1584e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Recording elapsed=3333335fs/4618802fs cycles=5.77 samples=204785 V=7.6874e-2 I=-4.4148e-5
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Recording elapsed=3383335fs/4618802fs cycles=5.86 samples=214785 V=6.0936e-2 I=-1.9139e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Recording elapsed=3433335fs/4618802fs cycles=5.95 samples=224785 V=2.9483e-2 I=-2.8334e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Recording elapsed=3483335fs/4618802fs cycles=6.03 samples=234785 V=-3.0709e-2 I=-2.9345e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Recording elapsed=3533335fs/4618802fs cycles=6.12 samples=244785 V=-8.0753e-2 I=-2.1880e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Recording elapsed=3583335fs/4618802fs cycles=6.21 samples=254785 V=-7.7382e-2 I=-8.0943e-5
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Recording elapsed=3633335fs/4618802fs cycles=6.29 samples=264785 V=-7.4066e-2 I=8.0292e-5
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Recording elapsed=3683335fs/4618802fs cycles=6.38 samples=274785 V=-4.6199e-2 I=2.1833e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Recording elapsed=3733335fs/4618802fs cycles=6.47 samples=284785 V=6.0981e-3 I=2.9331e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Recording elapsed=3783335fs/4618802fs cycles=6.55 samples=294785 V=4.9351e-2 I=2.8356e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Recording elapsed=3833335fs/4618802fs cycles=6.64 samples=304785 V=7.2237e-2 I=1.9191e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Recording elapsed=3883335fs/4618802fs cycles=6.73 samples=314785 V=1.0154e-1 I=4.4817e-5
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Recording elapsed=3933335fs/4618802fs cycles=6.81 samples=324785 V=8.7720e-2 I=-1.1522e-4
