target_ratio,sim_time,eta_a,eta_b,eta_avg,i_controller_a,i_controller_b,e_delta_a,e_delta_b
1.005,27300.0,0.006279,-0.011958,-0.002839,0.096971,0.015049,1,0
1.005,27400.0,0.007105,0.018868,0.012986,0.063589,-0.005786,2,1
1.005,27500.0,0.013445,0.012422,0.012934,-0.049556,-0.068347,1,0
1.005,27600.0,0.008929,-0.018349,-0.004710,-0.012039,0.018193,-2,-2
1.005,27700.0,0.012500,-0.012480,0.000010,-0.027696,0.039492,1,0
1.005,27800.0,0.009631,-0.012461,-0.001415,-0.007905,0.081431,-1,1
1.005,27900.0,0.007042,-0.012605,-0.002781,0.014840,0.066540,0,1
1.005,28000.0,0.010657,-0.012024,-0.000683,-0.027403,-0.025920,1,1
1.005,28100.0,0.009631,-0.017889,-0.004129,-0.022382,-0.025919,-1,-1
1.005,28200.0,0.012346,-0.011958,0.000194,0.000363,0.033781,0,-1
1.005,28300.0,0.009677,-0.012780,-0.001551,0.023108,-0.002039,0,1
1.005,28400.0,0.008942,-0.009119,-0.000088,0.045854,-0.040631,0,-1
1.005,28500.0,0.015748,-0.020050,-0.002151,-0.040703,-0.007770,2,0
1.005,28600.0,0.014337,-0.017241,-0.001452,-0.136123,-0.025426,-1,0
1.005,28700.0,0.009788,-0.009375,0.000207,-0.080881,0.019322,-1,0
1.005,28800.0,-0.009780,-0.009346,-0.009563,0.006857,-0.007543,-1,1
1.005,28900.0,0.006015,-0.009419,-0.001702,0.088687,-0.028438,0,0
1.005,29000.0,0.006838,-0.010850,-0.002006,0.061041,0.007382,1,-1
1.005,29100.0,0.009631,-0.011742,-0.001055,0.006982,0.046187,1,0
1.005,29200.0,0.013652,-0.006849,0.003401,-0.029353,0.084992,0,1
1.005,29300.0,0.008929,-0.006006,0.001461,0.014070,-0.049336,-1,1
1.005,29400.0,0.009585,-0.009479,0.000053,0.036815,-0.025068,0,-2
1.005,29500.0,0.012579,-0.006838,0.002871,-0.023152,-0.016192,1,2
1.005,29600.0,0.010118,-0.010381,-0.000131,-0.059487,-0.043040,0,0
1.005,29700.0,0.006515,-0.010657,-0.002071,-0.027880,-0.060735,-1,-1
1.005,29800.0,0.011429,-0.014598,-0.001585,0.000774,-0.021990,0,0
1.005,29900.0,0.009434,-0.012719,-0.001642,0.023519,0.010872,0,0
1.005,30000.0,0.012579,-0.009331,0.001624,0.001954,0.049677,1,0
1.005,30100.0,0.011905,-0.009174,0.001365,-0.034381,0.049677,0,1
1.005,30200.0,0.010811,-0.003604,0.003604,0.009042,-0.018837,-1,0
1.005,30300.0,0.012924,-0.010363,0.001281,-0.000766,-0.021665,1,-1
1.005,30400.0,0.009331,-0.012177,-0.001423,-0.037042,-0.054301,0,0
1.005,30500.0,0.006319,-0.012066,-0.002874,-0.032021,-0.021380,-1,0
1.005,30600.0,0.006116,-0.012658,-0.003271,0.046855,0.008844,-1,-1
1.005,30700.0,0.014706,-0.004651,0.005027,-0.021976,0.086348,2,1
1.005,30800.0,0.006504,-0.007605,-0.000550,0.021447,-0.005942,-1,1
1.005,30900.0,0.012422,-0.007220,0.002601,0.044193,0.006206,1,-1
1.005,31000.0,0.012140,-0.009302,0.001419,-0.021683,-0.011073,0,0
1.005,31100.0,0.009434,-0.006211,0.001611,-0.019615,-0.017446,-1,1
1.005,31200.0,0.006260,-0.009091,-0.001416,0.079940,0.000464,-1,0
1.005,31300.0,0.007080,-0.007767,-0.000344,0.079051,-0.020431,1,0
1.005,31400.0,-0.017316,-0.009950,-0.013633,0.030900,-0.041326,1,0
1.005,31500.0,0.011887,-0.009331,0.001278,-0.005435,-0.068173,0,0
1.005,31600.0,0.012442,-0.009174,0.001634,-0.041770,-0.089068,0,0
1.005,31700.0,0.009434,-0.012384,-0.001475,-0.039703,-0.023398,-1,-1
1.005,31800.0,0.009317,-0.015385,-0.003034,-0.016958,0.015407,0,0
1.005,31900.0,-0.017316,-0.008333,-0.012825,0.005788,0.021464,0,0
1.005,32000.0,0.012579,-0.009231,0.001674,-0.033501,0.000896,1,0
1.005,32100.0,0.009132,-0.009009,0.000062,-0.013710,-0.019732,-1,0
1.005,32200.0,0.009434,-0.009390,0.000022,0.009035,-0.040360,0,0
1.005,32300.0,0.009585,-0.009631,-0.000023,0.031780,-0.066788,0,-1
1.005,32400.0,-0.013333,-0.023715,-0.018524,-0.019325,0.002135,1,0
1.005,32500.0,0.006745,-0.014467,-0.003861,-0.055660,0.041298,0,0
1.005,32600.0,0.009756,0.000000,0.004878,-0.091995,0.080461,0,0
1.005,32700.0,0.009600,-0.009050,0.000275,-0.042664,0.086679,-1,1
1.005,32800.0,-0.008811,-0.006144,-0.007477,-0.019919,-0.077374,0,2
1.005,32900.0,0.009569,-0.010489,-0.000460,0.050035,-0.089033,1,-2
1.005,33000.0,0.009317,-0.006969,0.001174,-0.015781,-0.076758,0,-1
