step,time_fs,phase,ac_value,applied_i,v_cell_calc,v_cell_eis,foil_a_de,foil_b_de
25550,177750.00,0.115428,5.960073e-2,-5.960073e-2,-1.595885e0,-1.235639e0,0,0
25551,177755.00,0.115925,5.959729e-2,-5.959729e-2,-1.560527e0,-1.214987e0,1,0
25552,177760.00,0.116421,5.959384e-2,-5.959384e-2,-1.622745e0,-1.208207e0,1,-1
25553,177765.00,0.116918,5.959037e-2,-5.959037e-2,-1.615310e0,-1.193615e0,0,0
25554,177770.00,0.117414,5.958689e-2,-5.958689e-2,-1.612584e0,-1.217909e0,0,0
25555,177775.00,0.117910,5.958340e-2,-5.958340e-2,-1.624978e0,-1.207520e0,1,-1
25556,177780.00,0.118406,5.957989e-2,-5.957989e-2,-1.577368e0,-1.191869e0,0,0
25557,177785.00,0.118903,5.957635e-2,-5.957635e-2,-1.611325e0,-1.224763e0,0,0
25558,177790.00,0.119399,5.957282e-2,-5.957282e-2,-1.587127e0,-1.219332e0,0,0
25559,177795.00,0.119896,5.956926e-2,-5.956926e-2,-1.655456e0,-1.228984e0,0,0
25560,177800.00,0.120392,5.956570e-2,-5.956570e-2,-1.718001e0,-1.228521e0,1,-1
25561,177805.00,0.120889,5.956211e-2,-5.956211e-2,-1.630465e0,-1.219674e0,1,-1
25562,177810.00,0.121385,5.955851e-2,-5.955851e-2,-1.677365e0,-1.217268e0,0,0
25563,177815.00,0.121881,5.955489e-2,-5.955489e-2,-1.593042e0,-1.205964e0,0,0
25564,177820.00,0.122377,5.955127e-2,-5.955127e-2,-1.643686e0,-1.233318e0,1,-1
25565,177825.00,0.122874,5.954763e-2,-5.954763e-2,-1.630816e0,-1.226535e0,0,0
25566,177830.00,0.123370,5.954397e-2,-5.954397e-2,-1.577080e0,-1.197875e0,0,0
25567,177835.00,0.123867,5.954029e-2,-5.954029e-2,-1.624571e0,-1.213431e0,0,0
25568,177840.00,0.124363,5.953661e-2,-5.953661e-2,-1.575722e0,-1.222301e0,0,0
25569,177845.00,0.124860,5.953290e-2,-5.953290e-2,-1.600712e0,-1.208753e0,0,0
25570,177850.00,0.125356,5.952919e-2,-5.952919e-2,-1.621420e0,-1.205722e0,1,-1
25571,177855.00,0.125852,5.952546e-2,-5.952546e-2,-1.654446e0,-1.209665e0,0,0
25572,177860.00,0.126348,5.952172e-2,-5.952172e-2,-1.691727e0,-1.206308e0,0,0
25573,177865.00,0.126844,5.951796e-2,-5.951796e-2,-1.580331e0,-1.234100e0,1,-1
25574,177870.00,0.127341,5.951418e-2,-5.951418e-2,-1.542215e0,-1.206987e0,1,-1
25575,177875.00,0.127837,5.951039e-2,-5.951039e-2,-1.579150e0,-1.228694e0,0,0
25576,177880.00,0.128334,5.950659e-2,-5.950659e-2,-1.561485e0,-1.202297e0,0,0
25577,177885.00,0.128830,5.950277e-2,-5.950277e-2,-1.632957e0,-1.208044e0,0,0
25578,177890.00,0.129327,5.949893e-2,-5.949893e-2,-1.603824e0,-1.225537e0,0,0
25579,177895.00,0.129823,5.949509e-2,-5.949509e-2,-1.573255e0,-1.221195e0,0,0
25580,177900.00,0.130320,5.949122e-2,-5.949122e-2,-1.579689e0,-1.234737e0,1,-1
25581,177905.00,0.130816,5.948735e-2,-5.948735e-2,-1.602619e0,-1.235328e0,0,0
25582,177910.00,0.131312,5.948345e-2,-5.948345e-2,-1.603257e0,-1.222291e0,0,0
25583,177915.00,0.131808,5.947955e-2,-5.947955e-2,-1.594711e0,-1.245148e0,0,0
25584,177920.00,0.132305,5.947562e-2,-5.947562e-2,-1.577789e0,-1.241082e0,0,0
25585,177925.00,0.132801,5.947169e-2,-5.947169e-2,-1.670967e0,-1.197710e0,1,-1
25586,177930.00,0.133298,5.946773e-2,-5.946773e-2,-1.642881e0,-1.218098e0,1,-1
