target_ratio,sim_time,eta_a,eta_b,eta_avg,i_controller_a,i_controller_b,e_delta_a,e_delta_b
1.005,17600.0,0.009302,-0.014970,-0.002834,0.072060,0.026768,1,-1
1.005,17700.0,0.009600,-0.014925,-0.002663,0.036073,0.021517,0,0
1.005,17800.0,0.009390,-0.014970,-0.002790,-0.014664,0.057448,0,0
1.005,17900.0,0.006349,-0.008996,-0.001323,0.011293,0.001990,-1,2
1.005,18000.0,0.009820,-0.009063,0.000378,0.034301,-0.080017,0,0
1.005,18100.0,0.003140,-0.012066,-0.004463,0.057308,-0.100077,0,-1
1.005,18200.0,0.009390,-0.014970,-0.002790,0.080316,-0.066959,0,-1
1.005,18300.0,0.009390,-0.020958,-0.005784,0.070817,0.025202,1,-2
1.005,18400.0,0.015504,-0.011976,0.001764,-0.044760,0.010983,1,3
1.005,18500.0,0.006202,-0.008996,-0.001397,-0.051250,-0.012027,-1,0
1.005,18600.0,0.009600,-0.017241,-0.003821,-0.028242,0.006263,0,-1
1.005,18700.0,0.006410,-0.012739,-0.003164,-0.005235,-0.010847,0,1
1.005,18800.0,0.012461,-0.011958,0.000251,-0.038272,-0.033857,1,0
1.005,18900.0,0.006483,-0.015773,-0.004645,-0.021223,-0.000818,0,-1
1.005,19000.0,0.009585,-0.014970,-0.002693,0.010692,0.035172,-1,0
1.005,19100.0,0.012422,-0.015773,-0.001675,-0.004647,0.071161,1,0
1.005,19200.0,0.009585,-0.009434,0.000075,-0.040633,-0.034445,0,2
1.005,19300.0,0.009317,-0.017991,-0.004337,-0.029425,-0.027955,-1,-2
1.005,19400.0,0.006319,-0.015552,-0.004616,-0.006418,0.034583,0,1
1.005,19500.0,0.009202,-0.011817,-0.001307,0.016590,-0.014976,0,1
1.005,19600.0,0.012719,-0.017271,-0.002276,-0.004648,0.009213,1,-1
1.005,19700.0,0.006400,-0.012638,-0.003119,0.003610,0.001208,-1,0
1.005,19800.0,0.006221,-0.011994,-0.002887,0.026618,0.002014,0,0
1.005,19900.0,0.009331,-0.009050,0.000141,-0.024118,0.079258,1,2
1.005,20000.0,0.009317,-0.005970,0.001673,-0.060105,-0.044047,0,1
1.005,20100.0,0.009646,-0.012559,-0.001456,-0.045946,-0.002159,-1,-2
1.005,20200.0,0.006221,-0.008969,-0.001374,0.033110,-0.010222,-1,0
1.005,20300.0,0.006678,-0.011958,-0.002640,-0.050074,0.016983,2,0
1.005,20400.0,0.003200,-0.009375,-0.003087,-0.032966,0.017573,-1,1
1.005,20500.0,0.006369,-0.006260,0.000055,-0.001109,-0.005437,0,0
1.005,20600.0,0.006299,-0.013223,-0.003462,0.021898,0.021728,0,-1
1.005,20700.0,0.006260,-0.012461,-0.003101,0.044906,-0.027831,0,1
1.005,20800.0,0.012461,-0.015528,-0.001534,0.000070,0.005283,1,-1
1.005,20900.0,0.013180,-0.012658,0.000261,-0.035917,0.005873,0,1
1.005,21000.0,0.009585,-0.015015,-0.002715,-0.071904,0.030062,0,-1
1.005,21100.0,0.006270,-0.012030,-0.002880,-0.042997,-0.004748,-2,1
1.005,21200.0,0.009346,-0.009023,0.000162,0.024259,-0.060169,1,0
1.005,21300.0,0.012422,-0.014970,-0.001274,-0.005828,0.017117,1,-1
1.005,21400.0,0.012599,-0.015129,-0.001265,-0.041815,0.053106,0,0
1.005,21500.0,0.012422,-0.012012,0.000205,-0.077802,0.009447,0,1
