frame,time_fs,mode_f1,mode_f2,mode_f3,mode_f4,mode_f5,setpoint_f1,setpoint_f2,setpoint_f3,setpoint_f4,setpoint_f5,actual_ratio_f1,actual_ratio_f2,actual_ratio_f3,actual_ratio_f4,actual_ratio_f5,delta_electrons_f1,delta_electrons_f2,delta_electrons_f3,delta_electrons_f4,delta_electrons_f5,li_metal_count_f1,li_metal_count_f2,li_metal_count_f3,li_metal_count_f4,li_metal_count_f5
12103,60515,OP,OP,CC,CC,OP,1.000000,1.000000,0.020000,-0.020000,1.000000,1.041667,1.002787,1.000000,0.913441,1.045350,9,0,2,-20,8,1498,1205,1444,1191,1512
12303,61515,OP,OP,CC,CC,OP,1.000000,1.000000,0.020000,-0.020000,1.000000,1.003973,1.000000,1.006750,0.913386,1.000000,-84,-1,20,-20,-88,1280,611,807,659,887
12503,62515,OP,OP,CC,CC,OP,1.000000,1.000000,0.020000,-0.020000,1.000000,0.998321,1.000633,1.021002,0.899100,0.998896,-11,0,22,-20,-11,1557,1349,1627,1326,1581
12703,63515,OP,OP,CC,CC,OP,1.000000,1.000000,0.020000,-0.020000,1.000000,0.998843,1.000695,1.031958,0.891488,1.000550,-2,-2,22,-20,-1,1499,1209,1491,1309,1588
12903,64515,OP,OP,CC,CC,OP,1.000000,1.000000,0.020000,-0.020000,1.000000,1.001124,0.999344,1.033238,0.886145,0.995977,0,0,21,-20,2,1550,1295,1515,1228,1510
13103,65515,OP,OP,CC,CC,OP,1.000000,1.000000,0.020000,-0.020000,1.000000,0.996561,0.996189,1.027027,0.877655,0.996999,-2,1,21,-20,1,1224,1082,1324,947,1436
13303,66515,OP,OP,CC,CC,OP,1.000000,1.000000,0.020000,-0.020000,1.000000,0.993459,0.999235,1.051376,0.876795,1.004397,-1,0,22,-20,-1,1146,1078,1405,1093,1362
13503,67515,OP,OP,CC,CC,OP,1.000000,1.000000,0.020000,-0.020000,1.000000,0.993602,0.999305,1.068555,0.862801,1.000604,1,1,24,-20,2,1333,1209,1535,1184,1425
13703,68515,OP,OP,CC,CC,OP,1.000000,1.000000,0.020000,-0.020000,1.000000,0.993759,0.998442,1.053459,0.862312,1.004658,0,0,22,-20,1,1212,1054,1360,903,1058
13903,69515,OP,OP,CC,CC,OP,1.000000,1.000000,0.020000,-0.020000,1.000000,0.996915,0.999303,1.078815,0.849218,1.001187,-1,0,24,-20,-1,1391,1205,1559,1176,1455
14103,70515,CC,CC,OP,OP,CC,0.010000,-0.020000,1.000000,1.000000,0.010000,0.996366,1.000000,1.068261,0.850324,1.000597,0,0,18,-16,-1,1421,1194,1484,1006,1446
14303,71515,CC,CC,OP,OP,CC,0.010000,-0.020000,1.000000,1.000000,0.010000,1.002750,0.986776,1.006469,0.990411,1.004551,9,-20,-156,221,11,1588,1358,1625,1230,1528
14503,72515,CC,CC,OP,OP,CC,0.010000,-0.020000,1.000000,1.000000,0.010000,1.009879,0.977987,1.001079,0.997965,1.010585,11,-20,-11,20,9,1592,1360,1623,1244,1565
14703,73515,CC,CC,OP,OP,CC,0.010000,-0.020000,1.000000,1.000000,0.010000,1.004122,0.964931,0.994186,0.997821,1.015032,9,-20,-6,7,12,983,711,1146,688,1034
14903,74515,CC,CC,OP,OP,CC,0.010000,-0.020000,1.000000,1.000000,0.010000,1.013724,0.965843,0.998299,1.000000,1.017730,11,-20,0,3,10,1373,1146,1534,1093,1462
15103,75515,CC,CC,OP,OP,CC,0.010000,-0.020000,1.000000,1.000000,0.010000,1.021864,0.953245,0.998312,0.998533,1.022962,10,-20,-1,2,12,1508,1203,1547,1133,1512
15303,76515,CC,CC,OP,OP,CC,0.010000,-0.020000,1.000000,1.000000,0.010000,1.027923,0.943943,0.998895,0.999297,1.026620,12,-20,0,2,10,1489,1322,1580,1192,1498
15503,77515,CC,CC,OP,OP,CC,0.010000,-0.020000,1.000000,1.000000,0.010000,1.030861,0.937049,0.999410,1.003135,1.030303,10,-20,2,0,11,1455,1295,1465,1046,1387
