frame,time_fs,arc_length_norm,roughness_rms,dead_li_frac,accessible_atoms
264639,1323195.000,6.424404,60.272713,0.724539,537
265639,1328195.000,6.470983,60.553211,0.726660,545
266639,1333195.000,6.463854,60.552391,0.727969,551
267639,1338195.000,7.025287,60.379372,0.710173,555
268639,1343195.000,7.005648,59.915985,0.709770,551
269639,1348195.000,7.978221,62.475296,0.786685,371
270639,1353195.000,9.742834,59.224636,0.828968,348
271639,1358195.000,11.121355,57.793743,0.840125,334
272639,1363195.000,10.305609,57.748970,0.861027,343
273639,1368195.000,10.795762,57.638580,0.874106,372
274639,1373195.000,9.231403,56.284172,0.880618,401
275639,1378195.000,8.816757,56.263462,0.883289,430
276639,1383195.000,7.795536,56.847404,0.888748,463
277639,1388195.000,9.118258,57.234253,0.887793,483
278639,1393195.000,9.028624,57.133907,0.893112,503
279639,1398195.000,7.044065,56.029251,0.896592,503
280639,1403195.000,6.621481,56.295227,0.892649,509
281639,1408195.000,7.414058,57.589596,0.892900,501
282639,1413195.000,6.588845,58.161869,0.881851,504
283639,1418195.000,6.502198,57.540012,0.882784,495
284639,1423195.000,6.932852,56.830608,0.884709,482
285639,1428195.000,6.986966,57.183990,0.890511,482
286639,1433195.000,6.240052,56.894867,0.893643,481
287639,1438195.000,5.830244,57.416077,0.896215,483
288639,1443195.000,5.690338,57.517273,0.897185,476
289639,1448195.000,5.943742,57.443207,0.900735,481
290639,1453195.000,6.048744,57.537067,0.905521,474
291639,1458195.000,5.905486,57.443645,0.917589,466
292639,1463195.000,6.119422,57.253235,0.916359,472
293639,1468195.000,6.037820,57.814926,0.918418,476
294639,1473195.000,6.075246,57.929108,0.919554,474
295639,1478195.000,6.184271,57.675552,0.920792,479
296639,1483195.000,6.176570,57.704895,0.919554,474
297639,1488195.000,5.956078,57.804127,0.920596,474
298639,1493195.000,6.152626,58.068024,0.920497,463
299639,1498195.000,5.599519,58.149734,0.921739,474
300639,1503195.000,5.708789,58.149254,0.921739,478
301639,1508195.000,6.043696,58.251282,0.922981,468
302639,1513195.000,5.690655,58.257622,0.917079,453
303639,1518195.000,5.559734,58.151966,0.907178,472
304639,1523195.000,5.145601,58.457085,0.913613,516
305639,1528195.000,5.031495,59.067482,0.914174,511
306639,1533195.000,5.656867,58.354191,0.919060,496
307639,1538195.000,5.550238,58.791702,0.921260,476
308639,1543195.000,5.854370,57.885445,0.909794,497
309639,1548195.000,6.212910,58.338570,0.899743,482
310639,1553195.000,6.200907,57.828495,0.897829,477
311639,1558195.000,6.626437,57.807198,0.898977,474
312639,1563195.000,7.226627,58.980156,0.903771,468
313639,1568195.000,6.939938,58.745300,0.907552,472
314639,1573195.000,6.222827,58.318508,0.907432,456
315639,1578195.000,7.014179,58.954521,0.907190,455
316639,1583195.000,7.611584,59.447659,0.907311,472
317639,1588195.000,8.300640,57.831459,0.906128,465
318639,1593195.000,7.717392,58.313103,1.000000,454
319639,1598195.000,8.103071,58.011360,0.997396,454
320639,1603195.000,7.478744,58.443253,0.996089,456
321639,1608195.000,7.577165,58.401848,1.000000,446
322639,1613195.000,8.114639,58.051613,1.000000,452
323639,1618195.000,7.610357,58.193825,1.000000,449
