phase,pulse_num,sim_time,eta_a,eta_b,e_delta_a,e_delta_b
rest,1,41000.0,-0.060519,-0.046921,0,0
rest,1,41100.0,-0.057887,-0.052632,0,0
rest,1,41200.0,-0.060781,-0.049780,0,0
rest,1,41300.0,-0.062016,-0.058632,0,0
rest,1,41400.0,-0.068259,-0.069106,0,0
rest,1,41500.0,-0.058824,-0.049927,0,0
rest,1,41600.0,-0.059233,-0.064935,0,0
rest,1,41700.0,-0.086455,-0.040201,0,0
rest,1,41800.0,-0.060781,-0.049780,0,0
rest,1,41900.0,-0.058309,-0.049853,0,0
rest,1,42000.0,-0.065292,-0.057034,0,0
rest,1,42100.0,-0.055313,-0.052786,0,0
rest,1,42200.0,-0.058055,-0.050222,0,0
rest,1,42300.0,-0.056380,-0.049927,0,0
rest,1,42400.0,-0.060781,-0.049780,0,0
rest,1,42500.0,-0.061135,-0.049853,0,0
rest,1,42600.0,-0.075188,-0.103093,0,0
rest,1,42700.0,-0.092910,-0.066158,0,0
rest,1,42800.0,-0.058055,-0.053571,0,0
rest,1,42900.0,-0.062500,-0.056693,0,0
rest,1,43000.0,-0.052632,-0.059337,0,0
rest,1,43100.0,-0.059259,-0.047059,0,0
rest,1,43200.0,-0.056972,-0.050713,0,0
rest,1,43300.0,-0.062315,-0.050595,0,0
rest,1,43400.0,-0.061765,-0.046990,0,0
rest,1,43500.0,-0.064655,-0.046404,0,0
rest,1,43600.0,-0.062407,-0.050520,0,0
rest,1,43700.0,-0.063348,-0.092783,0,0
rest,1,43800.0,-0.074468,-0.091371,0,0
rest,1,43900.0,-0.058737,-0.052227,0,0
rest,1,44000.0,-0.060897,-0.046584,0,0
rest,1,44100.0,-0.063092,-0.051282,0,0
rest,1,44200.0,-0.055829,-0.057348,0,0
rest,1,44300.0,-0.055637,-0.052632,0,0
rest,1,44400.0,-0.060222,-0.055046,0,0
rest,1,44500.0,-0.050000,-0.051696,0,0
rest,1,44600.0,-0.059880,-0.047128,0,0
rest,1,44700.0,-0.061093,-0.055738,0,0
rest,1,44800.0,-0.072664,-0.063636,0,0
rest,1,44900.0,-0.058288,-0.054299,0,0
rest,1,45000.0,-0.063228,-0.053286,0,0
rest,1,45100.0,-0.067278,-0.049155,0,0
rest,1,45200.0,-0.057416,-0.055046,0,0
rest,1,45300.0,-0.066066,-0.054795,0,0
rest,1,45400.0,-0.063954,-0.050974,0,0
rest,1,45500.0,-0.063444,-0.053543,0,0
rest,1,45600.0,-0.055215,-0.057325,0,0
rest,1,45700.0,-0.051672,-0.056338,0,0
rest,1,45800.0,-0.134021,-0.064171,0,0
rest,1,45900.0,-0.077170,-0.063158,0,0
rest,1,46000.0,-0.063228,-0.049423,0,0
rest,1,46100.0,-0.055762,-0.058166,0,0
rest,1,46200.0,-0.059842,-0.049505,0,0
rest,1,46300.0,-0.063191,-0.048860,0,0
rest,1,46400.0,-0.066351,-0.050078,0,0
rest,1,46500.0,-0.066265,-0.049618,0,0
rest,1,46600.0,-0.061789,-0.046358,0,0
rest,1,46700.0,-0.057663,-0.049005,0,0
rest,1,46800.0,-0.060606,-0.052713,0,0
rest,1,46900.0,-0.062016,-0.052373,0,0
rest,1,47000.0,-0.056515,-0.048701,0,0
rest,1,47100.0,-0.052959,-0.048411,0,0
rest,1,47200.0,-0.059113,-0.047187,0,0
rest,1,47300.0,-0.059561,-0.049261,0,0
rest,1,47400.0,-0.060150,-0.044094,0,0
rest,1,47500.0,-0.064140,-0.054217,0,0
rest,1,47600.0,-0.063768,-0.047690,0,0
rest,1,47700.0,-0.060958,-0.047690,0,0
rest,1,47800.0,-0.055988,-0.052448,0,0
rest,1,47900.0,-0.065672,-0.048193,0,0
rest,1,48000.0,-0.063309,-0.052632,0,0
rest,1,48100.0,-0.059172,-0.051613,0,0
rest,1,48200.0,-0.061224,-0.051128,0,0
rest,1,48300.0,-0.062968,-0.044515,0,0
rest,1,48400.0,-0.060914,-0.071429,0,0
rest,1,48500.0,-0.055394,-0.048120,0,0
rest,1,48600.0,-0.053398,-0.073298,0,0
rest,1,48700.0,-0.056972,-0.048048,0,0
rest,1,48800.0,-0.057971,-0.047619,0,0
rest,1,48900.0,-0.055556,-0.053459,0,0
rest,1,49000.0,-0.063253,-0.048465,0,0
