phase,pulse_num,sim_time,eta_a,eta_b,e_delta_a,e_delta_b
rest,1,27100.0,-0.067449,-0.073206,0,0
rest,1,27200.0,-0.067548,-0.070381,0,0
rest,1,27300.0,-0.065523,-0.068966,0,0
rest,1,27400.0,-0.064516,-0.073099,0,0
rest,1,27500.0,-0.075534,-0.069697,0,0
rest,1,27600.0,-0.077961,-0.066667,0,0
rest,1,27700.0,-0.072993,-0.070485,0,0
rest,1,27800.0,-0.075188,-0.070175,0,0
rest,1,27900.0,-0.078313,-0.069592,0,0
rest,1,28000.0,-0.070175,-0.069841,0,0
rest,1,28100.0,-0.072886,-0.067153,0,0
rest,1,28200.0,-0.072289,-0.064234,0,0
rest,1,28300.0,-0.075912,-0.064140,0,0
rest,1,28400.0,-0.070278,-0.067153,0,0
rest,1,28500.0,-0.074627,-0.070901,0,0
rest,1,28600.0,-0.070175,-0.067153,0,0
rest,1,28700.0,-0.072993,-0.068148,0,0
rest,1,28800.0,-0.075301,-0.067251,0,0
rest,1,28900.0,-0.072886,-0.069869,0,0
rest,1,29000.0,-0.071535,-0.071749,0,0
rest,1,29100.0,-0.072886,-0.068047,0,0
rest,1,29200.0,-0.070175,-0.071111,0,0
rest,1,29300.0,-0.071429,-0.070513,0,0
rest,1,29400.0,-0.070336,-0.076642,0,0
rest,1,29500.0,-0.074738,-0.065476,0,0
rest,1,29600.0,-0.066869,-0.071429,0,0
rest,1,29700.0,-0.066971,-0.070796,0,0
rest,1,29800.0,-0.065379,-0.068452,0,0
rest,1,29900.0,-0.070175,-0.065672,0,0
rest,1,30000.0,-0.071006,-0.062687,0,0
rest,1,30100.0,-0.073282,-0.067588,0,0
rest,1,30200.0,-0.079077,-0.062780,0,0
rest,1,30300.0,-0.068323,-0.069079,0,0
rest,1,30400.0,-0.070423,-0.077064,0,0
rest,1,30500.0,-0.081081,-0.096852,0,0
rest,1,30600.0,-0.066561,-0.068740,0,0
rest,1,30700.0,-0.068643,-0.071217,0,0
rest,1,30800.0,-0.068006,-0.069074,0,0
rest,1,30900.0,-0.085193,-0.067227,0,0
rest,1,31000.0,-0.074189,-0.075117,0,0
rest,1,31100.0,-0.075534,-0.070288,0,0
rest,1,31200.0,-0.067524,-0.070400,0,0
rest,1,31300.0,-0.085185,-0.067524,0,0
rest,1,31400.0,-0.070175,-0.063830,0,0
rest,1,31500.0,-0.070073,-0.067055,0,0
rest,1,31600.0,-0.074850,-0.067350,0,0
rest,1,31700.0,-0.077058,-0.065625,0,0
rest,1,31800.0,-0.072838,-0.068966,0,0
rest,1,31900.0,-0.068759,-0.068966,0,0
rest,1,32000.0,-0.068759,-0.068966,0,0
rest,1,32100.0,-0.067647,-0.067692,0,0
rest,1,32200.0,-0.068452,-0.066066,0,0
rest,1,32300.0,-0.068759,-0.063158,0,0
rest,1,32400.0,-0.067947,-0.065868,0,0
rest,1,32500.0,-0.061728,-0.065728,0,0
rest,1,32600.0,-0.069486,-0.064615,0,0
rest,1,32700.0,-0.068862,-0.065868,0,0
rest,1,32800.0,-0.072664,-0.131868,0,0
rest,1,32900.0,-0.070878,-0.064122,0,0
rest,1,33000.0,-0.098214,-0.069388,0,0
rest,1,33100.0,-0.060510,-0.068536,0,0
rest,1,33200.0,-0.068966,-0.067278,0,0
rest,1,33300.0,-0.060698,-0.068323,0,0
rest,1,33400.0,-0.067176,-0.065868,0,0
rest,1,33500.0,-0.067381,-0.066066,0,0
rest,1,33600.0,-0.070229,-0.064234,0,0
rest,1,33700.0,-0.068858,-0.062874,0,0
rest,1,33800.0,-0.068862,-0.067588,0,0
rest,1,33900.0,-0.062968,-0.067797,0,0
rest,1,34000.0,-0.067227,-0.065359,0,0
rest,1,34100.0,-0.062378,-0.109890,0,0
